"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1458","User should see validation error when job experience role is empty","Account","2026-09-13","passed","2026-09-13","Empty Company Name","Candidate / Edit Profile / Experience","",""
"","2155","Job details should be visible","Jobs","2026-09-13","passed","2026-09-13","Job Details Is Visible","Guest","",""
"","2215","Pagination shouldn't be available","Jobs","2026-09-13","passed","2026-09-13","Pagination Is Not Available","Guest","",""
"","1293","User should see validation error when email is invalid","Auth","2026-09-13","passed","2026-09-13","Invalid Email","Sign Up / User","",""
"","2764","User should delete job experience","Account","2026-09-13","passed","2026-09-13","Delete Job Experience","Candidate / Edit Profile / Experience","",""
"","535","authenticate as recruiter","Auth Setup","2026-09-13","passed","2026-09-13","","auth.setup.ts","",""
"","1625","User should see validation error when job experience end date year has incorrect format","Account","2026-09-13","passed","2026-09-13","Invalid End Date Year","Candidate / Edit Profile / Experience","",""
"","2887","User should update achievements","Account","2026-09-13","passed","2026-09-13","Update Achievements","Candidate / Edit Profile / Bio","",""
"","1691","User should see validation error when core technical skills is empty","Account","2026-09-13","passed","2026-09-13","Empty Core Technical Skills","Candidate / Edit Profile / Role","",""
"","2002","User should see validation error when new password is empty","Account","2026-09-13","passed","2026-09-13","Empty New Passwrord","Recruiter / Account Settings","",""
"","1505","User should see validation error when job experience start date month is empty","Account","2026-09-13","passed","2026-09-13","Empty Start Date Month","Candidate / Edit Profile / Experience","",""
"","1418","User should see validation error when Behance is invalid","Account","2026-09-13","passed","2026-09-13","Incorrect Behance","Candidate / Edit Profile / Contacts","",""
"","4151","User should add job experience","Account","2026-09-13","passed","2026-09-13","Add Job Experience","Candidate / Edit Profile / Experience","",""
"","1599","User should update achievements","Account","2026-09-13","passed","2026-09-13","Empty Achievements","Candidate / Edit Profile / Bio","",""
"","4051","User should update location","Account","2026-09-13","passed","2026-09-13","Update Location","Candidate / Edit Profile / Expectations","",""
"","5631","Jobs should be filtered by company","Jobs","2026-09-13","passed","2026-09-13","Filter Jobs By Company","Guest","",""
"","1598","User should see validation error when job experience end date year is less than minimum","Account","2026-09-13","passed","2026-09-13","End Date Year Less Than Minimum","Candidate / Edit Profile / Experience","",""
"","1516","User should see validation error when email is incorrect","Auth","2026-09-13","passed","2026-09-13","Invalid Email","Sign In","",""
"","3002","User should update desired position","Account","2026-09-13","passed","2026-09-13","Update Desired Position","Candidate / Edit Profile / Role","",""
"","1203","User should see validation error when password is empty","Auth","2026-09-13","passed","2026-09-13","Empty Password","Sign In","",""
"","1633","User should see validation error when last name is empty","Account","2026-09-13","passed","2026-09-13","Empty Last Name","Recruiter / Edit Profile","",""
"","3940","User should update job experience","Account","2026-09-13","passed","2026-09-13","Update Job Experience","Candidate / Edit Profile / Expectations","",""
"","2314","User should login with valid credentials","Auth","2026-09-13","passed","2026-09-13","Valid Credentials","Sign In","",""
